0	0
1	1
2	0
3	1
4	0
5	1
6	5
7	0
8	1
9	2
10	3
11	3
12	4
1000	100
1001	104
1002	105
1003	107
1004	101
1005	109
1006	106
1007	108
1008	110
1009	109
1010	104
1011	105
1012	107
1013	109
1014	109
1015	106
1016	108
1017	111
1018	109
1019	104
1020	105
1021	107
1022	109
1023	109
1024	106
1025	108
1026	112
1027	111
1028	113
1029	114
1030	115
1031	109
1032	104
1033	105
1034	107
1035	109
1036	109
1037	106
1038	108
1039	116
1040	117
1041	118
1042	119
1043	119
1044	120
1045	119
1046	121
1047	119
1048	109
1049	119
1050	119
1051	119
1052	119
1053	122
1054	123
1055	124
1056	125
1057	122
1058	123
1059	126
1060	111
1061	119
1062	127
1063	128
1064	119
1065	102
1066	103
1067	119
